id,street,city,country,pharmacy_id
1,"49, Avenue Ibn Sina",Safi,Morocco,1
2,"232, Derb Al Mouqawama",Khouribga,Morocco,2
3,"132, Derb Tariq Ibn Ziyad",Temara,Morocco,3
4,"235, Avenue Al Mouqawama",Tetouan,Morocco,4
5,"171, Zankat Lalla Yacout",Fes,Morocco,5
6,"139, Zankat Mohammed V",Tangier,Morocco,6
7,"211, Boulevard Zerktouni",Temara,Morocco,7
8,"255, Avenue Al Massira Al Khadra",Taza,Morocco,8
9,"221, Rue Moulay Youssef",Marrakech,Morocco,9
10,"100, Derb Allal Ben Abdellah",Kenitra,Morocco,10
11,"279, Derb Ibn Khaldoun",Agadir,Morocco,11
12,"136, Rue Al Qods",Sale,Morocco,12
13,"214, Rue Ibn Sina",Meknes,Morocco,13
14,"22, Zankat Ibn Khaldoun",Safi,Morocco,14
15,"63, Derb Bir Anzarane",Taza,Morocco,15
16,"178, Rue Allal Ben Abdellah",Casablanca,Morocco,16
17,"256, Boulevard Bir Anzarane",Tangier,Morocco,17
18,"268, Rue Anfa",Tetouan,Morocco,18
19,"250, Rue FAR",Tetouan,Morocco,19
20,"8, Derb Hassan II",Meknes,Morocco,20
21,"145, Zankat Allal Ben Abdellah",Rabat,Morocco,21
22,"251, Rue Mohammed V",Mohammedia,Morocco,22
23,"181, Avenue Hassan II",Kenitra,Morocco,23
24,"71, Rue Ibn Sina",Beni Mellal,Morocco,24
25,"288, Boulevard FAR",Kenitra,Morocco,25
26,"74, Boulevard 2 March",Taza,Morocco,26
27,"42, Rue Al Massira Al Khadra",Rabat,Morocco,27
28,"243, Rue Al Massira Al Khadra",Sale,Morocco,28
29,"217, Derb Allal Ben Abdellah",Kenitra,Morocco,29
30,"155, Zankat Ibn Sina",Agadir,Morocco,30
31,"289, Derb Al Qods",Taza,Morocco,31
32,"72, Boulevard Tariq Ibn Ziyad",Tangier,Morocco,32
33,"214, Zankat Moulay Youssef",Tetouan,Morocco,33
34,"157, Avenue Ibn Sina",Taza,Morocco,34
35,"237, Zankat Anfa",Sale,Morocco,35
36,"224, Avenue Zerktouni",Beni Mellal,Morocco,36
37,"227, Rue Ibn Khaldoun",Temara,Morocco,37
38,"240, Rue 2 March",El Jadida,Morocco,38
39,"216, Derb Bir Anzarane",Casablanca,Morocco,39
40,"287, Avenue 2 March",Marrakech,Morocco,40
