id,medicine_id,quantity,total,profit,cart_id,created_at
1,143,1,64.95,16.24,658,2026-04-09T11:40:15
2,584,1,76.77,19.19,484,2026-09-06T12:51:28
3,485,2,95.96,23.98,579,2026-03-20T17:55:02
4,227,4,557.84,139.48,706,2026-03-15T13:38:15
5,581,3,182.88,45.72,684,2026-05-26T10:05:50
6,758,1,74.78,18.7,690,2026-03-02T19:25:54
7,670,3,293.25,73.32,47,2026-12-09T12:12:25
8,258,2,142.0,35.5,298,2026-04-27T10:47:49
9,577,4,385.88,96.48,259,2026-03-23T20:59:45
10,8,1,80.24,20.06,154,2026-08-13T19:32:15
11,327,2,160.08,40.02,49,2026-09-11T18:30:06
12,58,5,695.4,173.85,193,2026-04-02T08:02:37
13,45,1,106.53,26.63,217,2026-06-17T19:55:27
14,661,4,564.56,141.12,339,2026-07-12T16:26:07
15,491,2,183.72,45.92,317,2026-11-01T11:18:17
16,823,4,411.6,102.92,226,2026-12-10T14:22:41
17,808,4,524.96,131.24,542,2026-02-11T12:47:26
18,753,2,126.56,31.64,477,2026-08-07T13:48:04
19,838,5,338.2,84.55,747,2026-07-19T18:24:22
20,721,5,334.6,83.65,594,2026-06-26T14:00:02
21,805,2,223.38,55.84,459,2026-03-06T17:53:25
22,755,3,261.18,65.31,653,2026-02-01T17:10:11
23,909,2,124.78,31.2,750,2026-06-12T15:58:37
24,650,3,387.27,96.81,203,2026-11-05T11:31:25
25,424,1,55.49,13.87,292,2026-07-10T11:03:11
26,634,4,104.04,26.0,80,2026-08-05T10:37:35
27,147,1,22.1,5.53,206,2026-11-25T10:19:57
28,688,2,197.58,49.4,171,2026-01-03T19:43:42
29,967,3,281.43,70.35,137,2026-01-15T20:27:43
30,662,5,626.5,156.6,203,2026-09-15T16:59:13
31,676,3,353.1,88.29,413,2026-11-20T08:03:28
32,518,2,120.78,30.2,409,2026-07-13T17:19:44
33,576,2,152.18,38.04,701,2026-11-19T18:19:13
34,531,4,342.88,85.72,699,2026-12-01T16:20:21
35,594,2,126.9,31.72,649,2026-03-19T15:50:11
36,387,4,374.08,93.52,150,2026-03-11T15:47:52
37,163,4,207.44,51.84,312,2026-09-27T19:38:45
38,170,4,579.68,144.92,746,2026-08-06T11:49:43
39,697,2,105.86,26.46,258,2026-07-13T09:02:22
40,103,3,293.79,73.44,396,2026-09-02T14:55:32
41,406,2,170.56,42.64,563,2026-12-24T16:44:33
42,979,4,570.16,142.52,631,2026-05-09T17:57:16
43,911,1,118.01,29.5,697,2026-02-17T14:39:45
44,332,4,496.0,124.0,236,2026-05-02T16:34:14
45,713,2,265.9,66.48,558,2026-09-01T09:25:37
46,759,2,109.64,27.42,431,2026-03-21T20:58:13
47,506,4,393.28,98.32,254,2026-02-25T18:56:10
48,164,1,29.98,7.5,221,2026-09-25T13:11:01
49,7,2,102.52,25.62,102,2026-03-07T09:59:12
50,249,4,411.32,102.84,703,2026-11-03T12:49:00
51,608,5,215.35,53.85,172,2026-01-06T11:07:35
52,610,4,331.64,82.92,36,2026-03-20T13:38:01
53,920,2,65.4,16.36,468,2026-11-11T14:57:36
54,715,1,21.01,5.25,6,2026-11-19T18:48:47
55,82,4,275.64,68.92,351,2026-03-10T12:33:15
56,264,2,243.88,60.96,523,2026-02-12T09:20:18
57,737,4,238.32,59.56,634,2026-02-15T18:03:57
58,733,5,393.95,98.5,137,2026-03-18T10:57:02
59,865,3,80.76,20.19,639,2026-11-24T19:33:00
60,882,5,706.5,176.65,207,2026-11-23T17:41:07
