id,pharmacy_id,total,profit,created_at
1,1,554.09,157.12,2026-06-16T13:36:21
2,2,386.38,86.62,2026-01-11T13:57:41
3,3,181.99,50.2,2026-10-23T18:05:28
4,4,113.1,28.59,2026-02-18T11:39:22
5,5,568.13,163.58,2026-12-28T18:57:23
6,6,128.88,43.38,2026-11-25T16:41:32
7,7,140.21,42.32,2026-11-11T09:55:04
8,8,385.64,112.59,2026-05-27T13:31:18
9,9,440.79,94.3,2026-04-02T20:51:42
10,10,124.53,34.39,2026-08-07T08:32:46
11,11,476.04,84.88,2026-04-27T19:23:43
12,12,522.03,96.29,2026-03-24T12:56:18
13,13,55.28,16.06,2026-07-08T12:41:53
14,14,486.86,75.18,2026-02-06T20:45:05
15,15,502.51,165.95,2026-12-27T18:10:22
16,16,313.01,66.8,2026-12-01T12:59:52
17,17,313.15,104.16,2026-03-26T18:15:57
18,18,134.62,28.34,2026-02-18T17:05:50
19,19,112.62,34.91,2026-05-26T16:45:23
20,20,310.15,59.06,2026-12-06T15:27:34
21,21,278.81,52.17,2026-05-27T10:07:49
22,22,114.07,17.7,2026-10-03T19:45:13
23,23,326.38,113.84,2026-02-10T17:54:19
24,24,358.27,65.4,2026-09-18T18:33:45
25,25,88.63,20.03,2026-05-26T13:10:12
26,26,114.36,30.24,2026-09-05T09:42:13
27,27,155.71,35.58,2026-02-15T10:14:48
28,28,287.07,92.58,2026-08-02T12:59:45
29,29,534.0,185.89,2026-02-01T18:13:44
30,30,351.32,92.27,2026-09-26T20:30:18
31,31,69.67,21.78,2026-02-08T19:13:50
32,32,137.39,41.59,2026-05-26T12:37:23
33,33,286.42,97.85,2026-05-17T15:49:25
34,34,239.72,75.58,2026-08-12T20:45:09
35,35,246.96,79.5,2026-03-08T09:52:24
36,36,465.75,89.33,2026-01-27T11:42:31
37,37,577.82,144.9,2026-02-21T18:47:49
38,38,80.18,24.38,2026-01-07T20:54:36
39,39,386.63,124.47,2026-01-14T14:55:29
40,40,62.49,13.69,2026-07-20T14:25:43
41,41,382.53,123.27,2026-04-07T19:29:03
42,42,66.1,11.34,2026-09-27T08:50:01
43,43,369.0,119.31,2026-05-21T08:35:26
44,44,158.85,29.63,2026-04-28T08:51:48
45,45,273.42,89.66,2026-05-10T19:34:44
46,46,339.37,63.98,2026-04-15T13:38:46
47,47,52.86,14.04,2026-03-17T13:58:34
48,48,511.16,91.13,2026-09-11T19:17:22
49,49,224.0,72.59,2026-10-25T09:57:36
50,50,575.15,176.19,2026-05-17T10:49:48
51,51,179.36,44.68,2026-09-23T15:12:25
52,52,532.92,169.6,2026-03-08T16:01:02
53,53,191.95,37.83,2026-08-12T16:19:26
54,54,281.6,87.27,2026-12-16T19:17:06
55,55,266.09,66.05,2026-03-02T14:14:06
56,56,301.55,66.05,2026-10-15T15:25:02
57,57,117.01,25.94,2026-01-17T09:07:47
58,58,476.94,95.68,2026-06-15T10:34:07
59,59,438.7,128.22,2026-02-03T14:34:24
60,60,115.04,24.32,2026-04-13T09:05:33
61,61,384.16,88.33,2026-06-11T13:45:40
62,62,198.29,68.27,2026-03-24T14:32:15
63,63,258.88,77.82,2026-08-15T09:17:51
64,64,65.02,13.53,2026-11-22T13:17:21
65,65,516.18,113.99,2026-07-01T08:14:00
66,66,518.17,87.33,2026-11-05T10:31:49
67,67,132.41,25.7,2026-10-16T12:43:08
68,68,429.76,120.47,2026-12-28T20:13:24
69,69,488.81,95.98,2026-11-26T08:37:20
70,70,510.75,141.07,2026-10-07T12:01:49
71,71,443.87,117.5,2026-11-12T08:34:07
72,72,88.3,20.52,2026-01-08T12:52:33
73,73,395.6,103.8,2026-12-16T15:02:00
74,74,430.07,79.37,2026-10-11T19:42:36
75,75,234.46,68.45,2026-03-20T13:16:18
76,76,387.18,88.06,2026-05-05T09:47:48
77,77,433.18,137.97,2026-07-05T15:21:10
78,78,325.27,111.71,2026-07-24T19:55:04
79,79,406.6,97.33,2026-05-15T17:42:50
80,80,206.51,62.01,2026-04-11T18:07:52
81,81,275.11,52.98,2026-03-14T12:58:46
82,82,332.91,82.32,2026-11-22T08:03:05
83,83,294.73,71.63,2026-03-22T19:39:18
84,84,399.94,87.01,2026-02-24T19:15:02
85,85,521.04,169.23,2026-09-10T09:44:58
86,86,519.25,95.93,2026-06-23T13:49:09
87,87,482.95,158.12,2026-11-07T15:10:43
88,88,344.18,84.11,2026-07-22T15:36:35
89,89,118.58,22.72,2026-07-11T14:17:40
90,90,300.99,87.95,2026-02-11T16:35:08
91,91,535.94,158.53,2026-09-28T15:02:43
92,92,539.56,166.23,2026-02-24T08:31:46
93,93,367.27,63.61,2026-02-03T12:59:25
94,94,191.79,43.41,2026-02-19T16:15:03
95,95,467.04,112.79,2026-03-24T20:19:55
96,96,555.07,106.89,2026-12-06T11:31:46
97,97,418.01,143.84,2026-08-01T08:30:35
98,98,358.28,62.41,2026-06-08T10:21:59
99,99,102.14,17.09,2026-09-06T20:10:25
100,100,315.69,108.7,2026-10-14T18:25:26
101,101,450.41,80.93,2026-06-24T11:35:13
102,102,505.92,141.31,2026-08-03T14:19:25
103,103,466.89,132.47,2026-02-25T19:00:53
104,104,57.63,16.52,2026-01-27T20:47:37
105,105,513.53,79.2,2026-04-16T16:49:03
106,106,340.25,85.89,2026-12-23T20:27:48
107,107,494.17,131.45,2026-01-16T20:53:50
108,108,463.85,72.84,2026-05-17T12:38:09
109,109,419.81,121.04,2026-12-10T16:28:55
110,110,275.15,78.92,2026-06-02T15:51:18
111,111,420.26,85.65,2026-07-11T15:08:27
112,112,308.99,68.62,2026-02-25T17:32:10
113,113,326.18,78.07,2026-08-16T17:22:00
114,114,522.51,162.65,2026-05-11T20:08:48
115,115,132.04,24.72,2026-07-20T11:03:13
116,116,118.75,35.46,2026-06-06T13:28:14
117,117,182.84,49.8,2026-08-25T20:52:16
118,118,476.56,75.22,2026-04-11T09:27:32
119,119,238.56,66.67,2026-08-13T19:30:23
120,120,117.19,25.61,2026-08-25T18:36:37
121,121,590.89,95.94,2026-04-13T19:59:49
122,122,274.51,92.27,2026-03-16T14:14:13
123,123,596.1,104.86,2026-12-13T10:49:49
124,124,335.8,81.62,2026-08-22T10:11:21
125,125,463.0,88.7,2026-04-26T11:45:30
126,126,503.5,149.37,2026-01-18T19:37:19
127,127,128.42,24.6,2026-04-24T15:00:17
128,128,158.63,31.19,2026-11-04T18:40:34
129,129,537.98,136.07,2026-06-13T18:49:05
130,130,120.34,33.59,2026-05-15T11:28:06
131,131,375.84,116.58,2026-11-22T09:30:26
132,132,364.25,82.73,2026-11-21T14:18:23
133,133,514.28,113.81,2026-12-27T19:09:06
134,134,252.21,71.41,2026-08-20T18:10:27
135,135,209.15,44.89,2026-11-27T15:12:41
136,136,583.35,200.47,2026-09-17T13:39:13
137,137,194.69,66.64,2026-11-26T17:02:14
138,138,381.78,104.12,2026-11-22T16:55:13
139,139,422.75,70.2,2026-01-08T10:06:38
140,140,330.4,99.62,2026-06-26T13:49:05
141,141,424.51,125.44,2026-06-01T14:27:27
142,142,532.32,158.25,2026-11-22T20:02:25
143,143,405.43,78.91,2026-08-14T15:05:55
144,144,213.81,56.37,2026-04-05T16:37:22
145,145,448.29,75.23,2026-04-17T13:11:19
146,146,130.65,31.87,2026-03-04T13:22:36
147,147,467.65,92.78,2026-05-07T17:43:26
148,148,175.32,47.47,2026-10-10T08:12:35
149,149,359.59,76.98,2026-07-12T14:49:42
150,150,409.11,77.6,2026-01-17T15:13:02
151,151,79.47,23.66,2026-01-22T10:47:51
152,152,569.7,192.56,2026-11-13T11:43:47
153,153,585.14,128.84,2026-11-26T15:13:46
154,154,437.46,81.88,2026-05-17T15:17:36
155,155,167.6,57.98,2026-11-13T08:51:06
156,156,369.14,57.84,2026-05-18T16:27:25
157,157,446.0,131.77,2026-04-28T19:09:26
158,158,220.25,73.74,2026-09-19T18:44:12
159,159,415.46,105.04,2026-11-09T09:30:27
160,160,487.23,149.76,2026-10-07T15:06:58
161,161,278.16,92.64,2026-11-18T09:00:18
