id,name,pharmacy_id,created_at,active
1,Vitamins & Supplements - 1,467,2025-09-04T10:48:50,True
2,Dermatology - 2,181,2024-02-10T08:50:35,True
3,Respiratory - 3,538,2024-06-28T08:36:42,True
4,Gastrointestinal - 4,138,2024-10-10T14:08:01,True
5,Cardiovascular - 5,376,2025-12-13T20:04:51,True
6,Analgesics & Pain Relief - 6,220,2025-03-25T19:37:31,True
7,Analgesics & Pain Relief - 7,100,2024-08-04T10:17:12,True
8,Respiratory - 8,368,2025-09-12T14:19:48,True
9,Vitamins & Supplements - 9,218,2024-05-03T19:49:09,True
10,Analgesics & Pain Relief - 10,145,2025-01-14T09:23:39,True
11,Vitamins & Supplements - 11,491,2024-09-16T12:03:10,True
12,Analgesics & Pain Relief - 12,454,2024-07-14T17:01:26,True
13,Cardiovascular - 13,134,2024-05-17T18:57:06,True
14,Gastrointestinal - 14,328,2025-03-27T18:40:41,True
15,Analgesics & Pain Relief - 15,228,2025-01-08T08:07:01,True
16,Gastrointestinal - 16,416,2025-10-25T18:28:23,True
17,Respiratory - 17,316,2024-06-15T17:43:49,True
18,Gastrointestinal - 18,381,2025-07-27T10:15:16,True
19,First Aid - 19,109,2024-05-15T14:00:07,True
20,Analgesics & Pain Relief - 20,61,2024-09-04T08:13:01,True
21,Respiratory - 21,236,2024-08-13T12:48:05,True
22,First Aid - 22,166,2025-09-02T16:00:33,True
23,Antibiotics - 23,376,2025-02-05T17:01:55,True
24,Antibiotics - 24,351,2024-08-03T11:32:02,True
25,Respiratory - 25,464,2024-04-02T15:45:14,True
26,Gastrointestinal - 26,82,2024-05-12T16:17:31,True
27,Dermatology - 27,205,2025-03-04T19:12:01,True
28,Analgesics & Pain Relief - 28,446,2024-06-18T16:43:22,True
29,First Aid - 29,437,2025-10-09T15:01:13,True
30,Antibiotics - 30,6,2025-04-22T20:55:49,True
31,Cardiovascular - 31,413,2024-08-09T14:56:25,True
32,Respiratory - 32,153,2024-06-19T09:33:15,True
33,Vitamins & Supplements - 33,487,2024-01-02T12:25:26,True
34,Respiratory - 34,103,2025-06-21T17:01:48,True
35,Antibiotics - 35,120,2024-08-19T15:42:29,True
36,Antibiotics - 36,259,2024-01-24T18:16:37,True
37,Cardiovascular - 37,70,2025-10-01T13:15:42,True
38,Antibiotics - 38,325,2024-01-09T17:38:32,True
39,Analgesics & Pain Relief - 39,305,2025-07-26T17:33:31,True
40,Cardiovascular - 40,67,2024-08-19T15:43:07,True
41,Respiratory - 41,392,2025-02-14T14:06:09,True
42,Cardiovascular - 42,497,2025-01-16T15:36:17,True
43,Cardiovascular - 43,239,2024-06-14T10:13:47,True
44,Dermatology - 44,117,2025-01-03T19:52:58,True
45,Dermatology - 45,170,2025-11-05T08:13:29,True
46,Analgesics & Pain Relief - 46,528,2025-09-28T10:06:05,True
47,Respiratory - 47,57,2024-11-22T18:01:40,True
48,Dermatology - 48,98,2024-04-12T18:44:48,True
49,First Aid - 49,151,2024-02-15T08:46:53,True
50,Dermatology - 50,521,2024-02-18T14:57:16,True
51,Dermatology - 51,548,2024-03-25T09:28:56,True
52,Gastrointestinal - 52,535,2024-10-15T16:23:28,True
53,Analgesics & Pain Relief - 53,177,2024-01-09T16:02:26,True
54,First Aid - 54,328,2025-11-03T10:53:12,True
55,Respiratory - 55,88,2025-10-13T09:48:41,True
56,Antibiotics - 56,162,2025-11-27T17:17:50,True
57,Vitamins & Supplements - 57,434,2024-08-24T20:25:37,True
58,First Aid - 58,52,2025-01-19T13:14:45,True
59,Antibiotics - 59,265,2024-10-14T09:22:27,True
60,Analgesics & Pain Relief - 60,507,2024-03-16T12:43:57,True
61,Cardiovascular - 61,342,2025-06-04T20:59:29,True
62,Respiratory - 62,187,2025-11-02T17:59:26,True
63,Dermatology - 63,386,2025-09-08T19:16:59,True
64,Respiratory - 64,27,2025-08-17T12:09:04,True
65,First Aid - 65,12,2024-09-11T09:24:09,True
66,Vitamins & Supplements - 66,365,2024-11-14T12:34:34,True
67,Vitamins & Supplements - 67,1,2024-05-18T14:34:44,True
68,Cardiovascular - 68,43,2025-03-09T14:30:09,True
69,First Aid - 69,70,2025-01-20T09:05:19,True
70,Antibiotics - 70,220,2024-10-25T19:15:22,True
71,Vitamins & Supplements - 71,210,2025-02-08T11:30:46,True
72,Respiratory - 72,1,2025-03-08T08:58:16,True
73,Gastrointestinal - 73,524,2024-07-11T20:53:44,True
74,Analgesics & Pain Relief - 74,170,2025-05-25T12:31:09,True
75,Dermatology - 75,128,2024-07-11T18:02:55,True
76,Cardiovascular - 76,297,2025-01-26T17:26:25,True
77,Antibiotics - 77,482,2025-12-03T20:33:08,True
78,Dermatology - 78,43,2024-07-15T16:09:06,True
79,Dermatology - 79,82,2025-05-14T16:54:06,True
80,Cardiovascular - 80,335,2024-07-21T14:16:34,True
81,Respiratory - 81,255,2025-12-20T16:28:19,True
82,Respiratory - 82,320,2024-06-11T17:16:20,True
83,Analgesics & Pain Relief - 83,114,2024-10-05T19:38:43,True
84,Vitamins & Supplements - 84,60,2025-06-08T19:59:24,True
85,Analgesics & Pain Relief - 85,360,2024-02-16T09:27:43,True
86,Analgesics & Pain Relief - 86,233,2025-04-14T13:15:26,True
87,Vitamins & Supplements - 87,103,2025-06-12T17:03:24,True
88,First Aid - 88,8,2024-01-20T18:41:36,True
89,Dermatology - 89,140,2025-09-19T12:11:03,True
90,Dermatology - 90,386,2025-11-28T12:50:57,True
91,Respiratory - 91,442,2025-07-02T13:50:27,True
92,Dermatology - 92,166,2024-05-11T14:55:23,True
93,First Aid - 93,454,2025-09-01T17:28:50,True
94,Dermatology - 94,327,2024-04-26T16:51:38,True
95,Analgesics & Pain Relief - 95,436,2024-04-28T20:23:16,True
96,Respiratory - 96,391,2024-11-06T20:26:21,True
97,Dermatology - 97,56,2024-07-21T13:38:38,True
98,Gastrointestinal - 98,235,2024-01-23T18:27:10,True
99,Vitamins & Supplements - 99,122,2024-03-10T10:48:51,True
100,First Aid - 100,439,2025-12-22T15:19:25,True
101,Vitamins & Supplements - 101,324,2024-07-01T09:05:11,True
102,Dermatology - 102,103,2024-06-28T16:52:16,True
103,Respiratory - 103,62,2024-09-01T09:30:37,True
104,Respiratory - 104,493,2025-09-05T11:55:05,True
105,Vitamins & Supplements - 105,367,2025-01-26T12:28:08,True
106,Respiratory - 106,270,2024-11-26T14:04:09,True
107,Antibiotics - 107,169,2024-04-17T12:14:47,True
108,First Aid - 108,351,2024-07-12T19:37:46,True
109,Respiratory - 109,546,2024-08-18T13:52:40,True
110,Vitamins & Supplements - 110,378,2025-09-06T12:08:07,True
111,Cardiovascular - 111,516,2025-05-12T20:48:17,True
112,Analgesics & Pain Relief - 112,33,2025-05-10T18:23:18,True
113,First Aid - 113,347,2024-04-28T09:07:08,True
114,Cardiovascular - 114,158,2025-05-25T16:39:48,True
115,First Aid - 115,87,2025-08-25T14:48:13,True
116,Cardiovascular - 116,301,2024-08-06T08:12:55,True
117,Respiratory - 117,174,2024-08-12T19:00:41,True
118,Analgesics & Pain Relief - 118,69,2025-04-27T08:16:21,True
119,Cardiovascular - 119,34,2025-10-26T11:20:46,True
120,Vitamins & Supplements - 120,274,2024-06-28T11:56:19,True
121,Analgesics & Pain Relief - 121,37,2024-09-03T19:55:25,True
122,First Aid - 122,486,2025-09-03T14:22:11,True
123,Dermatology - 123,261,2025-11-12T12:16:27,True
124,Analgesics & Pain Relief - 124,545,2024-09-12T19:04:30,True
125,Cardiovascular - 125,462,2024-01-21T18:41:48,True
126,Gastrointestinal - 126,247,2024-03-18T15:32:32,True
127,Dermatology - 127,396,2025-10-17T16:49:09,True
128,Analgesics & Pain Relief - 128,314,2025-08-19T19:08:53,True
129,First Aid - 129,108,2025-08-22T10:16:24,True
130,Cardiovascular - 130,38,2024-12-20T16:47:24,True
131,Dermatology - 131,180,2025-03-07T16:41:14,True
132,First Aid - 132,167,2024-04-19T20:06:09,True
133,Antibiotics - 133,512,2024-07-27T10:56:36,True
134,Cardiovascular - 134,177,2024-12-19T16:59:13,True
135,Vitamins & Supplements - 135,150,2024-01-27T09:00:11,True
136,Cardiovascular - 136,180,2024-01-03T19:33:24,True
137,First Aid - 137,445,2025-02-02T08:32:53,True
138,First Aid - 138,396,2024-01-18T09:52:18,True
139,Cardiovascular - 139,382,2025-02-10T08:58:46,True
140,Cardiovascular - 140,297,2025-11-08T18:05:37,True
141,Analgesics & Pain Relief - 141,495,2025-07-26T20:49:54,True
142,Vitamins & Supplements - 142,200,2025-05-14T17:20:53,True
143,Antibiotics - 143,36,2024-04-24T20:01:29,True
144,Respiratory - 144,187,2024-06-27T12:21:47,True
145,Respiratory - 145,449,2024-06-01T19:02:27,True
146,Respiratory - 146,400,2025-05-03T09:00:57,True
147,Respiratory - 147,380,2025-02-23T09:45:53,True
148,Cardiovascular - 148,289,2024-08-18T13:06:25,True
149,Dermatology - 149,481,2024-09-20T08:23:49,True
150,Cardiovascular - 150,441,2025-09-07T12:35:09,True
151,Respiratory - 151,548,2025-03-13T17:29:50,True
152,Analgesics & Pain Relief - 152,541,2024-09-14T16:35:33,True
153,Antibiotics - 153,484,2025-10-03T13:01:23,True
154,Respiratory - 154,185,2025-08-28T09:36:29,True
155,Respiratory - 155,24,2024-03-01T09:08:27,True
156,Gastrointestinal - 156,466,2024-07-01T12:05:35,True
157,Analgesics & Pain Relief - 157,378,2024-02-26T15:23:21,True
158,Gastrointestinal - 158,121,2025-08-15T12:45:05,True
159,Vitamins & Supplements - 159,500,2025-07-20T10:50:04,True
160,Antibiotics - 160,149,2025-02-20T19:37:25,True
161,Vitamins & Supplements - 161,447,2025-03-06T10:38:30,True
162,Gastrointestinal - 162,525,2024-08-02T20:45:56,True
163,Dermatology - 163,376,2025-03-04T16:22:43,True
164,Dermatology - 164,382,2025-01-11T14:49:32,True
165,Vitamins & Supplements - 165,3,2024-03-28T13:31:53,True
166,Analgesics & Pain Relief - 166,19,2024-02-21T14:14:59,True
167,Gastrointestinal - 167,420,2025-01-15T10:13:52,True
168,Vitamins & Supplements - 168,286,2025-03-17T10:58:35,True
169,Gastrointestinal - 169,287,2024-01-03T15:33:41,True
170,Vitamins & Supplements - 170,165,2025-12-15T11:05:08,True
171,Respiratory - 171,75,2025-09-26T20:23:00,True
172,First Aid - 172,68,2024-06-18T18:44:48,True
173,Analgesics & Pain Relief - 173,94,2024-10-12T08:39:11,True
174,First Aid - 174,112,2024-06-06T14:05:47,True
175,Analgesics & Pain Relief - 175,372,2024-08-02T17:08:12,True
176,Analgesics & Pain Relief - 176,34,2025-02-26T14:37:20,True
177,Analgesics & Pain Relief - 177,5,2025-05-23T18:05:56,True
178,Dermatology - 178,336,2025-04-26T18:09:51,True
179,First Aid - 179,424,2024-07-12T10:38:16,True
180,Dermatology - 180,484,2024-07-27T19:05:39,True
181,Vitamins & Supplements - 181,486,2024-05-26T16:05:13,True
182,Antibiotics - 182,37,2025-06-02T10:22:49,True
183,Respiratory - 183,228,2024-02-15T12:13:56,True
184,Gastrointestinal - 184,449,2025-09-25T11:21:55,True
185,Vitamins & Supplements - 185,431,2024-07-28T12:34:27,True
186,Analgesics & Pain Relief - 186,440,2025-04-19T16:14:45,True
187,Dermatology - 187,307,2024-09-10T10:20:51,True
188,Cardiovascular - 188,392,2025-07-05T16:03:21,True
189,Gastrointestinal - 189,55,2025-08-09T19:03:25,True
190,Gastrointestinal - 190,460,2025-06-03T13:25:10,True
191,Cardiovascular - 191,188,2024-10-02T16:59:21,True
192,Gastrointestinal - 192,110,2024-08-21T19:19:46,True
193,Analgesics & Pain Relief - 193,105,2024-02-03T09:29:49,True
194,Respiratory - 194,98,2024-03-11T20:18:45,True
195,First Aid - 195,399,2024-11-23T10:10:40,True
196,Analgesics & Pain Relief - 196,416,2025-04-11T12:44:05,True
197,Vitamins & Supplements - 197,1,2024-11-05T10:28:57,True
198,Gastrointestinal - 198,366,2024-01-06T14:48:51,True
199,Analgesics & Pain Relief - 199,81,2025-02-11T11:55:46,True
200,Vitamins & Supplements - 200,356,2025-08-21T17:21:02,True
201,First Aid - 201,290,2024-08-04T20:28:45,True
202,Cardiovascular - 202,133,2025-10-18T08:59:22,True
203,Gastrointestinal - 203,29,2024-11-25T09:03:00,True
204,Respiratory - 204,295,2024-05-25T19:00:13,True
205,Antibiotics - 205,4,2025-06-05T08:56:13,True
206,Respiratory - 206,47,2025-02-03T16:19:40,True
207,Antibiotics - 207,227,2025-10-20T10:34:22,True
208,Gastrointestinal - 208,250,2025-11-19T13:09:02,True
209,Gastrointestinal - 209,398,2024-01-02T14:31:36,True
210,Analgesics & Pain Relief - 210,20,2025-10-14T16:03:04,True
211,Respiratory - 211,450,2025-05-02T20:44:57,True
212,Cardiovascular - 212,491,2025-12-22T10:45:56,True
213,Cardiovascular - 213,199,2025-05-19T19:23:55,True
214,Cardiovascular - 214,22,2024-07-16T15:24:48,True
215,Vitamins & Supplements - 215,343,2025-01-07T10:40:22,True
216,Analgesics & Pain Relief - 216,75,2025-04-13T13:16:08,True
217,Respiratory - 217,189,2025-02-15T16:16:11,True
218,Analgesics & Pain Relief - 218,192,2024-04-26T11:19:21,True
219,Antibiotics - 219,72,2024-12-26T08:36:02,True
220,Respiratory - 220,48,2025-04-01T18:48:34,True
221,Respiratory - 221,523,2025-04-01T10:56:57,True
