id,name,expired_date,purchase_price,selling_price,profit,quantity,batch_number,type,status,supplier_id,category_id,pharmacy_id,low,sold_quantity,active,in_stock
1,Doliprane 500mg,2025-09,107.4,120.07,12.67,84,MA-BATCH-99996,INJECTION,AVAILABLE,72,181,336,False,187,True,True
2,Doliprane 1000mg,2025-01,108.14,128.92,20.78,101,MA-BATCH-70902,CREAM,AVAILABLE,178,225,57,False,145,True,True
3,Augmentin 1g,2026-09,85.37,91.66,6.29,21,MA-BATCH-78468,SYRUP,AVAILABLE,470,89,31,False,55,True,True
4,Voltaren 50mg,2026-03,134.36,180.37,46.01,44,MA-BATCH-92201,INJECTION,AVAILABLE,71,360,92,False,74,True,True
5,Ventoline 100mcg,2027-01,19.85,74.59,54.74,136,MA-BATCH-66280,INJECTION,AVAILABLE,333,230,265,False,169,True,True
6,Ventoline 100mcg,2026-03,78.0,85.53,7.53,78,MA-BATCH-64914,SYRUP,AVAILABLE,650,308,393,False,432,True,True
7,Doliprane 1000mg,2027-04,174.45,185.34,10.89,22,MA-BATCH-57965,INJECTION,AVAILABLE,641,210,317,False,261,True,True
8,Ventoline 100mcg,2028-02,154.48,173.75,19.27,89,MA-BATCH-63717,CREAM,AVAILABLE,174,168,326,False,397,True,True
9,Ventoline 100mcg,2026-07,31.76,74.13,42.37,117,MA-BATCH-10497,CREAM,AVAILABLE,402,429,397,False,488,True,True
10,Smecta,2026-03,72.93,116.36,43.43,102,MA-BATCH-20038,CREAM,AVAILABLE,453,419,453,False,271,True,True
11,Aerius 5mg,2028-08,156.28,176.11,19.83,75,MA-BATCH-20553,DROPS,AVAILABLE,164,593,62,False,337,True,True
12,Smecta,2025-09,49.27,55.1,5.83,105,MA-BATCH-75614,CREAM,AVAILABLE,495,309,150,False,74,True,True
13,Smecta,2027-01,53.82,106.35,52.53,53,MA-BATCH-64955,DROPS,AVAILABLE,388,561,157,False,495,True,True
14,Aspegic 100mg,2027-10,33.23,43.01,9.78,110,MA-BATCH-56698,SYRUP,AVAILABLE,366,263,177,False,18,True,True
15,Aerius 5mg,2027-11,175.03,216.33,41.3,70,MA-BATCH-21526,TABLET,AVAILABLE,104,505,201,False,289,True,True
16,Aerius 5mg,2026-01,105.82,140.04,34.22,118,MA-BATCH-97646,INJECTION,AVAILABLE,240,315,231,False,182,True,True
17,Doliprane 500mg,2026-12,126.73,175.12,48.39,128,MA-BATCH-79236,CREAM,AVAILABLE,284,601,430,False,284,True,True
18,Aerius 5mg,2025-06,18.83,46.11,27.28,66,MA-BATCH-22889,TABLET,AVAILABLE,45,187,94,False,92,True,True
19,Rhinathiol,2027-02,149.5,174.91,25.41,50,MA-BATCH-34443,SYRUP,AVAILABLE,31,122,412,False,36,True,True
20,Aerius 5mg,2028-01,66.31,112.23,45.92,135,MA-BATCH-41420,INJECTION,AVAILABLE,146,103,518,False,207,True,True
21,Augmentin 1g,2025-12,23.72,31.93,8.21,41,MA-BATCH-23767,CREAM,AVAILABLE,458,564,51,False,51,True,True
22,Azix 500mg,2026-05,29.76,49.94,20.18,3,MA-BATCH-72238,TABLET,AVAILABLE,247,110,509,True,392,True,True
23,Rhinathiol,2028-01,31.32,81.56,50.24,142,MA-BATCH-23757,DROPS,AVAILABLE,398,160,364,False,360,True,True
24,Voltaren 50mg,2027-02,133.02,191.8,58.78,13,MA-BATCH-94936,CAPSULE,AVAILABLE,652,478,537,False,178,True,True
25,Ventoline 100mcg,2025-04,158.11,213.78,55.67,30,MA-BATCH-54659,SYRUP,AVAILABLE,346,543,170,False,371,True,True
26,Aspegic 100mg,2028-09,34.7,65.69,30.99,42,MA-BATCH-10453,INJECTION,AVAILABLE,141,480,58,False,376,True,True
27,Doliprane 1000mg,2025-07,52.41,63.57,11.16,106,MA-BATCH-82420,DROPS,AVAILABLE,525,114,482,False,437,True,True
28,Ventoline 100mcg,2028-05,40.51,94.67,54.16,150,MA-BATCH-74279,TABLET,AVAILABLE,549,203,497,False,183,True,True
29,Dafalgan 1g,2025-01,153.19,160.41,7.22,107,MA-BATCH-47590,CREAM,AVAILABLE,16,563,376,False,411,True,True
30,Dafalgan 1g,2025-01,73.06,125.75,52.69,128,MA-BATCH-95371,CAPSULE,AVAILABLE,301,199,139,False,119,True,True
31,Voltaren 50mg,2025-07,159.6,217.62,58.02,41,MA-BATCH-14987,INJECTION,AVAILABLE,617,392,361,False,443,True,True
32,Rhinathiol,2025-07,90.22,117.13,26.91,120,MA-BATCH-67997,DROPS,AVAILABLE,366,68,448,False,327,True,True
33,Spasfon,2026-02,128.87,147.39,18.52,93,MA-BATCH-17198,DROPS,AVAILABLE,119,417,306,False,431,True,True
34,Augmentin 1g,2025-04,38.96,47.96,9.0,122,MA-BATCH-57707,TABLET,AVAILABLE,665,536,265,False,467,True,True
35,Amoxil 500mg,2025-10,143.99,164.5,20.51,54,MA-BATCH-39115,CREAM,AVAILABLE,141,296,300,False,267,True,True
36,Paracetamol Cooper,2025-12,25.88,32.18,6.3,77,MA-BATCH-88733,TABLET,AVAILABLE,16,324,235,False,33,True,True
37,Aspegic 100mg,2028-08,39.31,64.57,25.26,18,MA-BATCH-57805,DROPS,AVAILABLE,564,398,298,False,216,True,True
38,Amoxil 500mg,2026-05,132.63,151.11,18.48,84,MA-BATCH-21890,TABLET,AVAILABLE,4,334,18,False,429,True,True
39,Rhinathiol,2028-05,34.55,81.41,46.86,127,MA-BATCH-30377,INJECTION,AVAILABLE,518,600,435,False,448,True,True
40,Aspegic 100mg,2027-06,173.26,195.86,22.6,63,MA-BATCH-24570,SYRUP,AVAILABLE,560,79,460,False,474,True,True
41,Spasfon,2026-10,96.29,145.68,49.39,34,MA-BATCH-83765,INJECTION,AVAILABLE,519,101,350,False,195,True,True
42,Augmentin 1g,2028-03,57.83,83.53,25.7,11,MA-BATCH-60246,TABLET,AVAILABLE,158,303,300,False,232,True,True
43,Rhinathiol,2027-07,140.13,191.47,51.34,94,MA-BATCH-70630,INJECTION,AVAILABLE,145,38,367,False,43,True,True
44,Ventoline 100mcg,2025-09,87.85,94.35,6.5,52,MA-BATCH-26056,CAPSULE,AVAILABLE,394,270,493,False,282,True,True
45,Doliprane 500mg,2025-04,179.16,225.56,46.4,123,MA-BATCH-73789,CAPSULE,AVAILABLE,315,234,543,False,18,True,True
46,Amoxil 500mg,2025-05,143.09,196.97,53.88,75,MA-BATCH-52508,DROPS,AVAILABLE,471,186,393,False,35,True,True
47,Amoxil 500mg,2028-11,41.73,56.23,14.5,66,MA-BATCH-62799,SYRUP,AVAILABLE,462,191,529,False,436,True,True
48,Dafalgan 1g,2028-05,64.54,72.05,7.51,106,MA-BATCH-11348,INJECTION,AVAILABLE,669,387,212,False,83,True,True
49,Aspegic 100mg,2027-04,93.91,102.63,8.72,52,MA-BATCH-81891,INJECTION,AVAILABLE,488,428,142,False,193,True,True
50,Amoxil 500mg,2028-12,114.62,131.6,16.98,135,MA-BATCH-72283,CREAM,AVAILABLE,54,417,31,False,418,True,True
51,Magne B6,2028-10,58.44,113.96,55.52,133,MA-BATCH-40638,SYRUP,AVAILABLE,59,343,380,False,408,True,True
52,Augmentin 1g,2026-08,53.83,59.16,5.33,6,MA-BATCH-85721,INJECTION,AVAILABLE,86,336,461,False,229,True,True
53,Magne B6,2026-11,172.0,219.71,47.71,80,MA-BATCH-52161,INJECTION,AVAILABLE,462,60,486,False,266,True,True
54,Dafalgan 1g,2027-05,113.24,143.73,30.49,86,MA-BATCH-67191,TABLET,AVAILABLE,601,29,248,False,435,True,True
55,Aerius 5mg,2028-04,143.91,163.19,19.28,46,MA-BATCH-62748,DROPS,AVAILABLE,134,467,212,False,102,True,True
56,Doliprane 500mg,2028-02,24.84,39.52,14.68,37,MA-BATCH-19831,INJECTION,AVAILABLE,380,502,437,False,320,True,True
57,Rhinathiol,2026-01,34.91,66.96,32.05,108,MA-BATCH-48604,SYRUP,AVAILABLE,632,557,381,False,68,True,True
58,Spasfon,2026-01,62.68,113.72,51.04,103,MA-BATCH-33032,TABLET,AVAILABLE,436,593,9,False,116,True,True
59,Aspegic 100mg,2025-03,111.44,160.8,49.36,47,MA-BATCH-64160,CREAM,AVAILABLE,563,15,98,False,465,True,True
60,Doliprane 1000mg,2028-02,58.91,101.23,42.32,68,MA-BATCH-65352,CREAM,AVAILABLE,26,74,462,False,247,True,True
