id,medicine_id,quantity,total,profit,order_id,created_at
1,543,5,111.40,39.45,1,2025-07-30T09:14:56
2,536,2,136.18,40.74,1,2025-07-30T09:14:56
3,517,2,27.58,9.74,2,2025-05-29T10:21:59
4,576,1,33.66,11.37,2,2025-05-29T10:21:59
5,517,3,18.78,4.38,2,2025-05-29T10:21:59
6,547,6,60.48,16.32,3,2026-03-08T17:34:37
7,506,4,181.24,66.88,4,2026-06-10T18:48:26
8,562,6,492.72,94.68,5,2026-06-18T13:29:27
9,592,4,156.40,31.52,5,2026-06-18T13:29:27
10,578,4,43.52,8.52,5,2026-06-18T13:29:27
11,582,2,20.50,4.82,5,2026-06-18T13:29:27
12,578,5,237.20,64.20,6,2026-07-16T13:55:11
13,584,4,51.72,16.56,6,2026-07-16T13:55:11
14,528,6,451.32,130.98,6,2026-07-16T13:55:11
15,544,4,164.48,37.12,6,2026-07-16T13:55:11
16,586,6,75.66,20.10,7,2026-04-10T15:15:31
17,561,3,104.82,22.08,7,2026-04-10T15:15:31
18,556,1,12.30,2.42,7,2026-04-10T15:15:31
19,517,1,64.57,16.43,7,2026-04-10T15:15:31
20,586,6,88.68,22.26,8,2026-07-24T09:05:30
21,537,4,297.80,96.56,8,2026-07-24T09:05:30
22,565,5,150.00,30.10,8,2026-07-24T09:05:30
23,572,2,145.56,36.40,9,2025-08-06T10:49:00
24,529,3,42.57,10.02,9,2025-08-06T10:49:00
25,580,4,290.44,108.88,9,2025-08-06T10:49:00
26,578,5,295.00,85.95,9,2025-08-06T10:49:00
27,544,3,183.66,44.40,10,2025-10-01T08:31:37
28,573,3,16.47,5.82,10,2025-10-01T08:31:37
29,596,6,333.90,62.16,11,2026-02-15T09:16:00
30,544,5,111.05,29.30,11,2026-02-15T09:16:00
31,577,6,185.70,68.40,12,2025-06-11T14:44:11
32,597,1,75.67,15.98,12,2025-06-11T14:44:11
33,557,5,44.90,8.80,12,2025-06-11T14:44:11
34,515,4,107.40,35.56,13,2026-03-11T16:50:28
35,587,3,118.17,27.96,13,2026-03-11T16:50:28
36,506,5,219.65,68.85,13,2026-03-11T16:50:28
37,501,2,73.24,21.96,13,2026-03-11T16:50:28
38,516,2,132.26,31.46,14,2025-07-29T13:29:13
39,517,1,44.79,11.92,14,2025-07-29T13:29:13
40,546,5,248.50,77.95,15,2026-01-25T17:41:43
41,556,1,36.77,12.08,15,2026-01-25T17:41:43
42,591,3,153.18,45.15,16,2025-01-20T16:22:10
43,580,4,26.68,6.52,17,2026-03-04T13:16:13
44,576,4,290.24,66.36,18,2026-04-17T14:35:14
45,529,4,298.56,98.28,19,2026-02-15T17:32:18
46,525,5,278.30,79.65,20,2025-12-08T11:03:38
47,523,2,26.44,6.12,21,2025-12-24T14:23:29
48,510,5,86.15,28.60,21,2025-12-24T14:23:29
49,558,4,261.44,86.80,22,2025-07-01T19:25:53
50,582,6,473.58,138.72,22,2025-07-01T19:25:53
51,541,5,154.30,57.75,22,2025-07-01T19:25:53
52,581,2,80.36,22.00,22,2025-07-01T19:25:53
53,558,3,136.77,33.12,23,2025-11-07T13:00:01
