id,total,profit,pharmacy_id,pharmacist_id,created_at,day,date,year,year_month_value,week_of_month
1,247.58,80.19,104,213,2025-07-30T09:14:56,30,2025-07-30,2025,2025-07,5
2,80.02,25.49,101,223,2025-05-29T10:21:59,29,2025-05-29,2025,2025-05,5
3,60.48,16.32,109,208,2026-03-08T17:34:37,8,2026-03-08,2026,2026-03,2
4,181.24,66.88,108,210,2026-06-10T18:48:26,10,2026-06-10,2026,2026-06,2
5,713.14,139.54,108,222,2026-06-18T13:29:27,18,2026-06-18,2026,2026-06,3
6,904.72,248.86,105,219,2026-07-16T13:55:11,16,2026-07-16,2026,2026-07,3
7,257.35,61.03,104,212,2026-04-10T15:15:31,10,2026-04-10,2026,2026-04,2
8,536.48,148.92,118,216,2026-07-24T09:05:30,24,2026-07-24,2026,2026-07,4
9,773.57,241.25,103,218,2025-08-06T10:49:00,6,2025-08-06,2025,2025-08,2
10,200.13,50.22,119,217,2025-10-01T08:31:37,1,2025-10-01,2025,2025-10,1
11,444.95,91.46,114,212,2026-02-15T09:16:00,15,2026-02-15,2026,2026-02,3
12,306.27,93.18,102,214,2025-06-11T14:44:11,11,2025-06-11,2025,2025-06,3
13,518.46,154.33,101,224,2026-03-11T16:50:28,11,2026-03-11,2026,2026-03,3
14,177.05,43.38,103,218,2025-07-29T13:29:13,29,2025-07-29,2025,2025-07,5
15,285.27,90.03,107,211,2026-01-25T17:41:43,25,2026-01-25,2026,2026-01,4
16,153.18,45.15,108,212,2025-01-20T16:22:10,20,2025-01-20,2025,2025-01,4
17,26.68,6.52,117,223,2026-03-04T13:16:13,4,2026-03-04,2026,2026-03,2
18,290.24,66.36,120,215,2026-04-17T14:35:14,17,2026-04-17,2026,2026-04,3
19,298.56,98.28,101,209,2026-02-15T17:32:18,15,2026-02-15,2026,2026-02,3
20,278.30,79.65,118,210,2025-12-08T11:03:38,8,2025-12-08,2025,2025-12,2
21,112.59,34.72,107,209,2025-12-24T14:23:29,24,2025-12-24,2025,2025-12,4
22,969.68,305.27,118,208,2025-07-01T19:25:53,1,2025-07-01,2025,2025-07,1
23,136.77,33.12,114,204,2025-11-07T13:00:01,7,2025-11-07,2025,2025-11,2
24,702.77,212.54,108,224,2025-02-08T09:02:08,8,2025-02-08,2025,2025-02,2
25,213.32,64.03,115,207,2026-04-06T18:24:24,6,2026-04-06,2026,2026-04,2
26,258.92,56.19,119,211,2025-03-28T17:11:06,28,2025-03-28,2025,2025-03,5
27,958.43,222.79,109,204,2025-10-17T15:03:09,17,2025-10-17,2025,2025-10,3
28,1255.50,351.00,101,224,2025-05-25T14:22:05,25,2025-05-25,2025,2025-05,4
29,450.05,113.41,106,218,2026-06-24T09:42:04,24,2026-06-24,2026,2026-06,4
30,460.48,130.49,114,225,2026-06-24T08:41:13,24,2026-06-24,2026,2026-06,4
31,830.73,227.52,111,223,2025-09-01T16:05:11,1,2025-09-01,2025,2025-09,1
32,1052.09,346.50,109,206,2026-04-18T13:07:46,18,2026-04-18,2026,2026-04,3
33,628.71,145.66,105,207,2025-03-27T10:55:06,27,2025-03-27,2025,2025-03,5
34,576.65,169.16,107,207,2026-05-30T14:48:27,30,2026-05-30,2026,2026-05,5
35,159.37,45.65,111,224,2025-12-10T10:39:31,10,2025-12-10,2025,2025-12,2
36,66.75,14.01,104,216,2025-01-06T09:26:32,6,2025-01-06,2025,2025-01,2
37,72.03,14.73,103,209,2026-06-25T15:42:18,25,2026-06-25,2026,2026-06,4
38,217.11,59.41,113,224,2026-03-06T19:37:54,6,2026-03-06,2026,2026-03,2
39,330.12,90.18,104,219,2025-03-29T17:31:47,29,2025-03-29,2025,2025-03,5
40,72.87,22.68,112,225,2025-01-17T14:30:02,17,2025-01-17,2025,2025-01,3
41,146.04,50.04,112,217,2025-12-07T10:25:43,7,2025-12-07,2025,2025-12,1
42,48.58,12.12,120,220,2026-04-21T16:42:41,21,2026-04-21,2026,2026-04,4
43,430.00,112.66,109,210,2025-02-12T13:44:42,12,2025-02-12,2025,2025-02,3
44,119.88,31.17,102,204,2025-12-06T12:58:25,6,2025-12-06,2025,2025-12,1
45,448.75,128.64,115,227,2026-01-31T14:10:19,31,2026-01-31,2026,2026-01,5
46,314.40,74.81,118,207,2026-03-17T18:58:02,17,2026-03-17,2026,2026-03,4
47,961.35,286.73,104,210,2026-03-13T11:02:01,13,2026-03-13,2026,2026-03,3
48,347.72,67.78,113,208,2026-03-25T08:38:00,25,2026-03-25,2026,2026-03,5
49,381.79,113.68,103,212,2026-04-06T14:45:11,6,2026-04-06,2026,2026-04,2
50,201.00,64.47,118,206,2026-02-01T18:13:29,1,2026-02-01,2026,2026-02,1
51,259.52,51.21,110,210,2025-10-20T16:56:31,20,2025-10-20,2025,2025-10,4
52,241.85,86.65,120,201,2025-11-24T14:19:28,24,2025-11-24,2025,2025-11,5
53,112.21,36.60,112,223,2025-06-28T14:34:50,28,2025-06-28,2025,2025-06,5
54,753.76,180.07,119,218,2026-04-24T18:02:32,24,2026-04-24,2026,2026-04,4
55,165.58,51.08,107,205,2026-02-24T18:27:56,24,2026-02-24,2026,2026-02,5
