id,name,opening_time,closing_time,is_open,user_id,cart_id,address_id,created_at,is_active
1,Pharmacie Ibn Sina 1,08:30:00,20:30:00,True,1,1,1,2025-04-08T10:47:06,True
2,Pharmacie Al Salam 2,08:30:00,20:30:00,True,2,2,2,2025-01-01T09:13:14,True
3,Pharmacie Al Salam 3,08:30:00,20:30:00,True,3,3,3,2024-12-21T19:34:26,True
4,Pharmacie Al Anouar 4,08:30:00,20:30:00,False,4,4,4,2025-01-25T20:10:44,True
5,Pharmacie Marrakech 5,08:30:00,20:30:00,True,5,5,5,2025-03-07T20:21:06,True
6,Pharmacie Ibn Sina 6,08:30:00,20:30:00,False,6,6,6,2024-06-28T13:38:16,True
7,Pharmacie Al Shifa 7,08:30:00,20:30:00,False,7,7,7,2024-07-03T16:18:53,True
8,Pharmacie Anfa 8,08:30:00,20:30:00,True,8,8,8,2024-12-03T08:42:14,True
9,Pharmacie Atlas 9,08:30:00,20:30:00,True,9,9,9,2024-02-13T12:29:40,True
10,Pharmacie Al Amal 10,08:30:00,20:30:00,True,10,10,10,2025-06-07T18:17:44,True
11,Pharmacie Ibn Sina 11,08:30:00,20:30:00,True,11,11,11,2024-03-15T14:17:59,True
12,Pharmacie Al Salam 12,08:30:00,20:30:00,True,12,12,12,2025-01-08T08:51:20,True
13,Pharmacie Marrakech 13,08:30:00,20:30:00,True,13,13,13,2024-04-19T19:20:13,True
14,Pharmacie Al Kawtar 14,08:30:00,20:30:00,False,14,14,14,2025-03-09T10:15:47,True
15,Pharmacie Al Salam 15,08:30:00,20:30:00,True,15,15,15,2025-10-13T13:14:08,True
16,Pharmacie Al Salam 16,08:30:00,20:30:00,False,16,16,16,2024-01-28T09:09:40,True
17,Pharmacie Centrale 17,08:30:00,20:30:00,False,17,17,17,2024-07-13T17:29:33,True
18,Pharmacie Atlas 18,08:30:00,20:30:00,True,18,18,18,2024-11-18T20:17:49,True
19,Pharmacie Al Amal 19,08:30:00,20:30:00,True,19,19,19,2025-07-06T15:00:46,True
20,Pharmacie Atlas 20,08:30:00,20:30:00,True,20,20,20,2024-11-10T18:32:38,True
21,Pharmacie Al Anouar 21,08:30:00,20:30:00,True,21,21,21,2025-03-18T20:59:33,True
22,Pharmacie Al Shifa 22,08:30:00,20:30:00,True,22,22,22,2025-01-04T13:56:53,True
23,Pharmacie Atlas 23,08:30:00,20:30:00,True,23,23,23,2024-04-19T09:05:46,True
24,Pharmacie Al Kawtar 24,08:30:00,20:30:00,True,24,24,24,2024-03-22T15:35:10,True
25,Pharmacie Atlas 25,08:30:00,20:30:00,False,25,25,25,2024-09-25T19:44:12,True
26,Pharmacie Atlas 26,08:30:00,20:30:00,False,26,26,26,2025-08-17T15:07:15,True
