id,name,pharmacy_id,created_at,active
1,Galenica Maroc,188,2024-02-25T11:13:19,True
2,Ibrahim Pharm SARL,328,2025-02-22T12:59:39,True
3,Chiesi Maroc Maroc,159,2025-03-07T20:25:50,True
4,Promopharm S.A.,161,2025-09-16T18:38:50,True
5,Maphar Maroc,276,2024-05-16T12:23:09,True
6,Cooper Pharma SARL,363,2025-08-10T14:36:25,True
7,Maphar S.A.,414,2024-07-12T18:51:08,True
8,Synthemed Maroc SARL,20,2024-04-22T19:16:18,True
9,Galenica S.A.,330,2025-07-11T16:35:47,True
10,Chiesi Maroc S.A.,516,2025-05-04T09:15:10,True
11,Galenica Maroc,492,2025-01-25T18:24:44,True
12,Synthemed Maroc S.A.,287,2025-01-04T08:40:21,True
13,Cooper Pharma Maroc,379,2025-05-04T15:08:56,True
14,Laprophan SARL,424,2024-03-19T12:36:12,True
15,Ibrahim Pharm S.A.,449,2024-06-19T16:48:42,True
16,Cooper Pharma Maroc,544,2025-12-01T10:49:49,True
17,Laprophan Maroc,322,2025-08-24T11:11:20,True
18,Synthemed Maroc S.A.,472,2025-06-07T18:45:16,True
19,Cooper Pharma Maroc,24,2024-02-21T14:27:25,True
20,Synthemed Maroc S.A.,542,2024-09-12T08:36:27,True
21,Sothema Maroc,335,2025-05-19T13:40:04,True
22,Laprophan Maroc,95,2024-09-06T20:32:54,True
23,Laprophan Maroc,480,2024-02-25T18:27:52,True
24,Cooper Pharma SARL,463,2024-11-11T09:11:41,True
25,Afric Phar SARL,465,2025-01-13T17:18:00,True
26,Afric Phar SARL,20,2024-04-11T14:09:16,True
27,Chiesi Maroc Maroc,335,2025-11-22T11:49:52,True
28,Afric Phar SARL,157,2024-03-07T12:11:06,True
29,Sothema Maroc,41,2024-09-12T09:20:55,True
30,Galenica S.A.,214,2024-05-06T14:17:14,True
31,Chiesi Maroc SARL,28,2024-08-04T14:01:28,True
32,Chiesi Maroc SARL,51,2025-08-13T11:13:49,True
33,Maphar Maroc,128,2024-03-17T17:46:33,True
34,Laprophan S.A.,215,2024-08-24T17:22:47,True
35,Galenica SARL,196,2024-02-26T16:23:30,True
36,Cooper Pharma Maroc,115,2025-01-01T14:51:26,True
37,Maphar S.A.,364,2025-05-27T09:27:54,True
38,Cooper Pharma S.A.,87,2025-08-01T12:46:41,True
39,Galenica S.A.,145,2024-03-19T08:08:33,True
40,Promopharm S.A.,482,2024-01-20T20:13:55,True
41,Cooper Pharma SARL,425,2024-07-06T10:59:33,True
42,Promopharm Maroc,186,2025-02-26T10:01:31,True
43,Chiesi Maroc SARL,414,2025-05-20T13:01:50,True
44,Sothema SARL,30,2025-01-24T10:58:26,True
45,Sothema Maroc,387,2024-03-04T08:22:57,True
46,Chiesi Maroc S.A.,430,2024-02-16T15:26:54,True
47,Ibrahim Pharm SARL,138,2024-05-16T15:57:57,True
48,Cooper Pharma S.A.,331,2025-10-22T19:06:30,True
49,Synthemed Maroc Maroc,201,2024-04-17T10:51:09,True
50,Chiesi Maroc Maroc,85,2024-12-13T12:56:39,True
51,Laprophan S.A.,232,2025-03-24T18:19:21,True
52,Synthemed Maroc Maroc,533,2025-03-11T14:23:42,True
53,Promopharm Maroc,36,2025-11-02T20:12:11,True
54,Sothema S.A.,35,2024-03-13T13:00:36,True
55,Synthemed Maroc SARL,353,2024-11-28T17:25:28,True
56,Chiesi Maroc SARL,270,2025-02-24T12:41:49,True
57,Ibrahim Pharm SARL,346,2024-05-11T20:55:31,True
58,Ibrahim Pharm SARL,99,2025-09-09T09:50:23,True
59,Maphar Maroc,27,2024-02-08T15:53:07,True
60,Laprophan Maroc,303,2024-06-10T15:27:35,True
61,Laprophan Maroc,187,2025-09-07T10:53:43,True
62,Chiesi Maroc S.A.,204,2025-09-20T20:09:36,True
63,Ibrahim Pharm Maroc,49,2025-09-08T19:33:10,True
64,Galenica S.A.,103,2024-11-21T17:14:53,True
65,Promopharm Maroc,435,2024-05-02T14:18:24,True
66,Ibrahim Pharm SARL,488,2025-06-05T19:19:00,True
67,Laprophan SARL,320,2024-12-20T17:04:03,True
68,Maphar S.A.,148,2025-03-25T20:15:25,True
69,Promopharm Maroc,430,2025-10-07T11:53:22,True
70,Laprophan S.A.,283,2024-07-04T19:47:37,True
71,Promopharm S.A.,455,2024-11-09T20:20:00,True
72,Laprophan Maroc,319,2024-11-20T15:14:42,True
73,Synthemed Maroc SARL,128,2025-03-03T20:58:46,True
74,Galenica SARL,42,2025-05-04T18:29:27,True
75,Afric Phar S.A.,499,2025-04-17T09:05:46,True
76,Afric Phar Maroc,372,2024-11-16T19:27:26,True
77,Sothema Maroc,108,2025-12-24T12:57:16,True
