id,name,pharmacy_id,description,total,year_month_value,year
1,TVA (Taxe sur la Valeur Ajoutée),278,Declaration fiscale Trimestre 2,11153.21,2026-04,2026
2,Taxe Professionnelle,479,Declaration fiscale Trimestre 4,10539.59,2026-09,2026
3,Taxe Professionnelle,270,Declaration fiscale Trimestre 4,3648.62,2026-05,2026
4,TVA (Taxe sur la Valeur Ajoutée),545,Declaration fiscale Trimestre 4,9624.53,2026-08,2026
5,Impôt sur les Sociétés (IS),287,Declaration fiscale Trimestre 4,14485.04,2026-04,2026
6,Impôt sur les Sociétés (IS),341,Declaration fiscale Trimestre 4,1843.45,2026-08,2026
7,Taxe Services Communaux (TSC),190,Declaration fiscale Trimestre 4,4109.06,2026-12,2026
8,Taxe Services Communaux (TSC),207,Declaration fiscale Trimestre 1,13163.04,2026-11,2026
9,Cotisation Minimale,27,Declaration fiscale Trimestre 4,1296.75,2026-11,2026
10,Taxe Professionnelle,435,Declaration fiscale Trimestre 4,7788.92,2026-04,2026
11,Taxe Professionnelle,111,Declaration fiscale Trimestre 3,5447.94,2026-11,2026
12,Taxe Professionnelle,450,Declaration fiscale Trimestre 2,8918.81,2026-03,2026
13,Taxe Services Communaux (TSC),463,Declaration fiscale Trimestre 1,4212.25,2026-10,2026
14,Impôt sur les Sociétés (IS),345,Declaration fiscale Trimestre 4,1440.14,2026-02,2026
15,Impôt sur les Sociétés (IS),200,Declaration fiscale Trimestre 2,3804.5,2026-07,2026
16,TVA (Taxe sur la Valeur Ajoutée),409,Declaration fiscale Trimestre 2,2088.42,2026-10,2026
17,Taxe Services Communaux (TSC),463,Declaration fiscale Trimestre 3,11411.0,2026-09,2026
18,Cotisation Minimale,293,Declaration fiscale Trimestre 1,12674.73,2026-05,2026
19,Taxe Professionnelle,70,Declaration fiscale Trimestre 1,14652.61,2026-05,2026
20,Cotisation Minimale,498,Declaration fiscale Trimestre 3,6994.83,2026-11,2026
21,TVA (Taxe sur la Valeur Ajoutée),71,Declaration fiscale Trimestre 4,10804.47,2026-12,2026
22,Taxe Services Communaux (TSC),453,Declaration fiscale Trimestre 2,12375.44,2026-11,2026
23,Taxe Professionnelle,506,Declaration fiscale Trimestre 2,5951.45,2026-10,2026
24,TVA (Taxe sur la Valeur Ajoutée),506,Declaration fiscale Trimestre 1,10775.74,2026-12,2026
25,Taxe Services Communaux (TSC),547,Declaration fiscale Trimestre 2,12234.78,2026-10,2026
26,Cotisation Minimale,524,Declaration fiscale Trimestre 2,14209.13,2026-08,2026
27,Taxe Professionnelle,533,Declaration fiscale Trimestre 1,13220.11,2026-12,2026
28,Taxe Professionnelle,414,Declaration fiscale Trimestre 2,4351.03,2026-02,2026
29,Taxe Professionnelle,84,Declaration fiscale Trimestre 3,11895.53,2026-09,2026
30,Taxe Services Communaux (TSC),268,Declaration fiscale Trimestre 4,7330.63,2026-03,2026
31,Impôt sur les Sociétés (IS),422,Declaration fiscale Trimestre 2,10965.1,2026-05,2026
32,Taxe Professionnelle,337,Declaration fiscale Trimestre 1,5608.91,2026-03,2026
33,Taxe Services Communaux (TSC),478,Declaration fiscale Trimestre 3,7612.59,2026-11,2026
34,TVA (Taxe sur la Valeur Ajoutée),384,Declaration fiscale Trimestre 3,4078.63,2026-09,2026
35,Taxe Professionnelle,8,Declaration fiscale Trimestre 1,2088.6,2026-05,2026
36,Taxe Professionnelle,230,Declaration fiscale Trimestre 3,12010.47,2026-10,2026
37,Taxe Services Communaux (TSC),97,Declaration fiscale Trimestre 3,12994.83,2026-04,2026
38,Impôt sur les Sociétés (IS),198,Declaration fiscale Trimestre 1,11876.38,2026-12,2026
39,Taxe Services Communaux (TSC),183,Declaration fiscale Trimestre 3,9191.63,2026-04,2026
40,Cotisation Minimale,304,Declaration fiscale Trimestre 1,11780.29,2026-09,2026
41,Taxe Services Communaux (TSC),430,Declaration fiscale Trimestre 3,7477.1,2026-10,2026
42,Impôt sur les Sociétés (IS),240,Declaration fiscale Trimestre 4,4859.59,2026-09,2026
43,Taxe Professionnelle,155,Declaration fiscale Trimestre 1,7374.7,2026-02,2026
44,Impôt sur les Sociétés (IS),49,Declaration fiscale Trimestre 3,5886.43,2026-02,2026
45,Taxe Professionnelle,154,Declaration fiscale Trimestre 3,7540.98,2026-03,2026
46,Taxe Professionnelle,173,Declaration fiscale Trimestre 1,3704.78,2026-01,2026
47,Taxe Professionnelle,476,Declaration fiscale Trimestre 1,1081.59,2026-12,2026
48,Impôt sur les Sociétés (IS),11,Declaration fiscale Trimestre 4,4310.83,2026-09,2026
49,Cotisation Minimale,237,Declaration fiscale Trimestre 3,5033.93,2026-03,2026
50,Taxe Services Communaux (TSC),194,Declaration fiscale Trimestre 2,11743.45,2026-01,2026
51,TVA (Taxe sur la Valeur Ajoutée),543,Declaration fiscale Trimestre 2,9939.48,2026-01,2026
52,Impôt sur les Sociétés (IS),125,Declaration fiscale Trimestre 2,784.82,2026-05,2026
53,TVA (Taxe sur la Valeur Ajoutée),1,Declaration fiscale Trimestre 3,4902.7,2026-07,2026
54,TVA (Taxe sur la Valeur Ajoutée),287,Declaration fiscale Trimestre 1,8765.69,2026-08,2026
